district,k2_inside_ttk,k2_outside_ttk,k2,source
Молжаниновский,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Москворечье-Сабурово,,,"0,7",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Нагатино-Садовники,,,"0,5",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Нагатинский Затон,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Нагорный,,,"0,7",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Некрасовка,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Нижегородский,,,"0,7",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Новогиреево,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Новокосино,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Ново-Переделкино,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Обручевский,,,"0,7",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Орехово-Борисово Северное,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Орехово-Борисово Южное,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Останкинский,,,"0,5",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Отрадное,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Очаково-Матвеевское,,,"0,7",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Перово,,,"0,7",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Печатники,,,"0,7",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Покровское-Стрешнево,,,"0,7",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Преображенское,,,"0,5",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Пресненский,"0,2","0,5",,в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Проспект Вернадского,,,"0,7",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Раменки,,,"0,7",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Ростокино,,,"0,7",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Рязанский,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Савелки,,,"0,9",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
Савеловский,,,"0,5",в ред. постановления Правительства Москвы от 24.12.2024 N 3074-ПП
