municipality,price_rub_per_sqm,period,document
Городской округ Балашиха,189045.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Богородский городской округ,131783.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Бронницы,118673.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ ВЛАСИХА (ЗАТО),178219.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Волоколамский городской округ,112903.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Воскресенск,98522.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Восход (ЗАТО),127262.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Дмитровский городской округ,140656.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Долгопрудный,240524.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Домодедово,169386.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
