municipality,price_rub_per_sqm,period,document
Городской округ Дубна,203435.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Егорьевск,97887.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Жуковский,174297.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Зарайск,78009.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Звёздный городок (ЗАТО),155871.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Истра,173271.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Кашира,93688.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Клин,125983.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Коломна,114126.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Королёв,205120.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Котельники,234785.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Красногорск,251426.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ КРАСНОЗНАМЕНСК (ЗАТО),192129.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Ленинский городской округ,215318.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Лобня,168122.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Лосино-Петровский,121921.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Лотошино,77914.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Луховицы,104854.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Лыткарино,161721.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Люберцы,219609.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Можайский городской округ,100592.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Молодёжный (ЗАТО),103247.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Мытищи,238052.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Наро-Фоминский городской округ,167542.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Одинцовский городской округ,223135.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Орехово-Зуевский городской округ,97891.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Павловский Посад,117028.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Подольск,161794.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Пушкинский,175122.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Раменский городской округ,149619.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Реутов,242817.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Рузский городской округ,113576.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Сергиево-Посадский городской округ,129363.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Серебряные Пруды,77041.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Серпухов,129620.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Солнечногорск,141870.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Ступино,118085.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Талдомский городской округ,89528.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Фрязино,135577.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Химки,223437.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Черноголовка,168376.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Чехов,127897.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Шатура,80473.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Шаховская,140847.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Щёлково,150934.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Городской округ Электросталь,128832.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
Московская область (среднее),198907.0,"III, IV кварталы 2026 года","Распоряжение Комитета по ценам и тарифам Московской области от 28.04.2026 № 114-Р «Об установлении средней рыночной стоимости 1 квадратного метра общей площади жилья по муниципальным образованиям Московской области и среднего значения рыночной стоимости 1 квадратного метра общей площади жилья в целом по Московской области на III, IV кварталы 2026 года» (зарегистрировано 30.04.2026 № 32-443/2026)"
